year,honor,name,country,birth_year,death_year,title,category,context
1964,Man of the Year,Lyndon B. Johnson,United States,1908.0,1973.0,President of the United States,Politics,['Presidential Election']
1991,Man of the Year,Ted Turner,United States,1938.0,,Founder of CNN,Media,
2011,Person of the Year,The Protester,,,,,Revolution,['Arab Spring']
1968,Men of the Year,The Apollo 8 Astronauts (William Anders),United States,1933.0,,NASA Astronaut,Space,['Apollo 8']
1979,Man of the Year,Ayatollah Khomeini,Iran,1902.0,1989.0,Supreme Leader of Iran,Revolution,['Iranian Revolution']
1988,Planet of the Year,The Endangered Earth,,,,,Environment,
1989,Man of the Decade,Mikhail Gorbachev,Russia,1931.0,,President of the Soviet Union,Politics,['Democratic Elections']
1981,Man of the Year,Lech Wałęsa,Poland,1943.0,,Chairperson of Solidarity (Polish Trade Union),Politics,['Gdańsk Agreement']
1939,Man of the Year,Joseph Stalin,Russia,1878.0,1953.0,General Secretary of the Communist Party of the Soviet Union,War,['World War II']
1946,Man of the Year,James F. Byrnes,United States,1879.0,1972.0,Secretary of State,Diplomacy,['Iran Crisis']
1949,Man of the Half-Century,Winston Churchill,United Kingdom,1874.0,1965.0,Prime Minister of the United Kingdom,War,['World War II']
1966,Man of the Year,The Inheritor,United States,,,,Politics,['Baby Boom Generation']
1994,Man of the Year,Pope John Paul II,Vatican City,1920.0,2005.0,Pope of the Roman Catholic Church,Religion,
2002,Persons of the Year,The Whistleblowers (Cynthia Cooper),United States,,,Vice President of Internal Audit at WorldCom,Economics,['Corporate Fraud']
2012,Person of the Year,Barack Obama,United States,1961.0,,President of the United States,Politics,['Presidential Election']
1932,Man of the Year,Franklin D. Roosevelt,United States,1882.0,1945.0,President of the United States,Politics,['Presidential Election']
1942,Man of the Year,Joseph Stalin,Russia,1878.0,1953.0,Premier of the Soviet Union,War,"['Battle of Stalingrad', 'World War II']"
1954,Man of the Year,John Foster Dulles,United States,1888.0,1959.0,Secretary of State,War,"['Manila Pact', 'Cold War']"
1956,Man of the Year,The Hungarian Freedom Fighter,Hungary,,,,Revolution,['Hungarian Revolution']
1993,Men of the Year,The Peacemakers (Yasser Arafat),Palestine,1929.0,2004.0,President of the Palestinian National Authority,Diplomacy,['Oslo Accord']
2019,Person of the Year,Greta Thunberg,Sweden,2003.0,,,Society,"['Climate change', 'ecology', 'environmental movements']"
2002,Persons of the Year,The Whistleblowers (Sherron Watkins),United States,1959.0,,Vice President of Corporate Development at Enron,Economics,['Corporate Fraud']
1927,Man of the Year,Charles Lindbergh,United States,1902.0,1974.0,US Air Mail Pilot,,['First Solo Transatlantic Flight']
1998,Men of the Year,Bill Clinton,United States,1946.0,,President of the United States,Politics,['Presidential Impeachment']
2014,Person of the Year,The Ebola Fighters,,,,,Science,['Ebola Epidemic']
2015,Person of the Year,Angela Merkel,Germany,1954.0,,Chancellor of Germany,Politics,"['Debt Crisis', 'Refugee Crisis', 'Paris Terrorist Attacks']"
1934,Man of the Year,Franklin D. Roosevelt,United States,1882.0,1945.0,President of the United States,Politics,
1963,Man of the Year,Martin Luther King Jr.,United States,1929.0,1968.0,President of the Southern Christian Leadership Conference,Politics,['March on Washington']
1965,Man of the Year,William Westmoreland,United States,1914.0,2005.0,Army General,War,['Vietnam War']
1929,Man of the Year,Owen D. Young,United States,1874.0,1962.0,Member of the German Reparations International Commission,Diplomacy,['Young Plan']
1944,Man of the Year,Dwight D. Eisenhower,United States,1890.0,1969.0,Supreme Allied Commander in Europe,War,"['Battle of Normandy', 'World War II']"
1967,Man of the Year,Lyndon B. Johnson,United States,1908.0,1973.0,President of the United States,Politics,
1971,Man of the Year,Richard Nixon,United States,1913.0,1994.0,President of the United States,Politics,
1975,Women of the Year,American Women,United States,,,,Politics,['Feminist Movement']
1986,Woman of the Year,Corazon Aquino,Philippines,1933.0,2009.0,President of the Philippines,Revolution,['Philippine Revolution']
2005,Persons of the Year,The Good Samaritans (Bono),Ireland,1960.0,,Lead Singer of U2,Philanthropy,['Charity Concerts']
